artist_id;name;popularity;genres
6uRJnvQ3f8whVnmeoecv5Z;Berliner Philharmoniker;73;['classical performance', 'german orchestra', 'orchestra']
0bjdfjE8XbLa2Odstu6E1E;Maria Callas;56;['classical soprano', 'opera']
6NB0vY1HQgkUpCBsm5eAvo;Léo Ferré;47;['chanson', 'nouvelle chanson francaise']
1ZwdS5xdxEREPySFridCfh;2Pac;83;['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']
14kYvF52x0QjAkBjPAQBlm;Bourvil;42;['chanson']
6XpaIBNiVzIetEPCWDvAFP;Whitney Houston;81;['dance pop', 'pop', 'urban contemporary']
5l8VQNuIg0turYE1VtM9zV;Leonard Cohen;71;['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']
5y2Xq6xcjJb2jVM54GHK3t;John Legend;83;['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']
0oSGxfWSnnOXhD2fKuz2Gy;David Bowie;82;['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']
3STJooaV48Du0c6tfZ5PIe;Frida Boccara;35;[]
4XYH5Be5pn1qkxhfaID3J5;Jane Birkin;54;['chanson', 'french pop']
1xbjT6BnZk2j6PZhf5VZR7;Michel Jonasz;47;['chanson', 'french pop']
5928hF4c1MriHfAgpFf8ya;Trevor Jones;54;['classic soundtrack', 'scorecore', 'soundtrack']
